歌单名,简介,歌曲名,艺人名,推荐语,,,,,,,
,,我们的寂寞,萧亚轩,,,,,,,,
,,那件疯狂的小事叫爱情,袁泉,,,,,,,,
,,Mystery of Love,Sufjan Stevens,,,,,,,,
x,,,,,,,,,,,
,,Problem,Iggy Azalea / Ariana Grande,,,,,,,,
,,Happy,Pharrell Williams,,,,,,,,
,,Rude,MAGIC!,,,,,,,,
,,Talk Dirty,Jason Derulo / 2 Chainz,,,,,,,,
,,Counting Stars,OneRepublic,,,,,,,,
,,Fancy,Iggy Azalea / Charli XCX,,,,,,,,
,,Dark Horse,Juicy J / Katy Perry,,,,,,,,
,,Stay With Me,Sam Smith,,,,,,,,
,,Pompeii,Bastille,,,,,,,,
,,Am I Wrong,Nico & Vinz,,,,,,,,
,,Turn Down For What,Lil Jon / DJ Snake,,,,,,,,
,,Wake Me Up,Avicii / Aloe Blacc,,,,,,,,
,,The Monster,Eminem / Rihanna,,,,,,,,
,,Radioactive,Imagine Dragons,,,,,,,,
,,Roar,Katy Perry,,,,,,,,
,,Run This Town,Rihanna / Kanye West / Jay Z,,,,,,,,
,,U + Ur Hand,P!nk,,,,,,,,
,,Intro(AE86),陈光荣,,,,,,,,
,,Crazy,Daniela Andrade,,,,,,,,
,,Best Day of My Life,American Authors,,,,,,,,
,,Empire State of Mind ,Alicia Keys / Jay Z,,,,,,,,
,,Boom Clap,Charli XCX,,,,,,,,
,,,,,,,,,,,
夜跑,,,,,,,,,,,
,,III,Athletics,,,,,,,,
,,Taipei (All at Once),Kyte,,,,,,,,
,,Merry Christmas Mr. Lawrence,FACT,,,,,,,,
,,搁浅的人,康士坦的变化球,,,,,,,,
,,盛夏光年,林忆莲,,,,,,,,
,,The Peach Blossom (QRION Remix),狸猫,,,,,,,,
,,Smells Like Teen Spirit,Nirvana,,,,,,,,
,,夜空中最亮的星,逃跑计划,,,,,,,,
,,So Young,Suede,,,,,,,,
,,Dream On,Aerosmith,,,,,,,,
,,Bring Me to Life,Evanescence,,,,,,,,
,,不潮不用花钱 (Live),李玟,,,,,,,,
,,Adventure of a Lifetime,Coldplay,,,,,,,,
,,Viva la Vida,Coldplay,,,,,,,,
,,Princess of China,Rihanna / Coldplay,,,,,,,,
,,This Is What You Came For,Rihanna / Calvin Harris,,,,,,,,
,,Work (R3hab Remix),Rihanna / Drake / R3HAB,,,,,,,,
,,Bad Blood,Taylor Swift,,,,,,,,
,,I Knew You Were Trouble,Taylor Swift,,,,,,,,
,,Famous,Kanye West / Rihanna,,,,,,,,
,,Waves,Kanye West / Chris Brown,,,,,,,,
,,Havana (Remix),Daddy Yankee / Camila Cabello,,,,,,,,
,,,,,,,,,,,
我总是会想起它,,,,,,,,,,,
,,Another Day of Sun,Justin Hurwitz,,,,,,,,
,,Someone in the Crowd,Emma Stone / Sonoya Mizuno / Callie Hernandez / Jessica Rothe,,,,,,,,
,,Mia & Sebastian's Theme,Justin Hurwitz,,,,,,,,
,,A Lovely Night,Ryan Gosling / Emma Stone,,,,,,,,
,,Herman's Habit,Justin Hurwitz,,,,,,,,
,,City of Stars (Pier),Ryan Gosling,,,,,,,,
,,Planetarium,Justin Hurwitz,,,,,,,,
,,Summer Montage / Madeline,Justin Hurwitz,,,,,,,,
,,City of Stars,Ryan Gosling / Emma Stone,,,,,,,,
,,Engagement Party,Justin Hurwitz,,,,,,,,
,,Audition (The Fools Who Dream),Emma Stone,,,,,,,,
,,Epilogue,Justin Hurwitz,,,,,,,,
,,The End,Justin Hurwitz,,,,,,,,
,,City of Stars (Humming),Emma Stone,,,,,,,,
,,,,,,,,,,,
我的2017年度歌单,"2017年我最喜欢的30首歌。查看你的2017音乐之旅：https://h.xiami.com/event/end-year.html


交织着爱情 欲望 成长 青春 
我就是我
一个contradictory的Rodrian Wei",,,,,,,,,,
,,III,Athletics,,,,,,,,
,,灯光,谢震廷,,,,,,,,
,,年轮说,杨丞琳,,,,,,,,
,,Merry Christmas Mr. Lawrence,FACT,,,,,,,,
,,The Peach Blossom (QRION Remix),狸猫,,,,,,,,
,,Lust for Life,Lana Del Rey / The Weeknd,,,,,,,,
,,搁浅的人,康士坦的变化球,,,,,,,,
,,Sine Dust,36,,,,,,,,
,,小城大事 (Live),张学友,,,,,,,,
,,第三人称 (Live) ,Hush!,,,,,,,,
,,time will tell,宇多田ヒカル,,,,,,,,
,,九頭身日奈NINE HEAD HINANO,9m88,,,,,,,,
,,I LOVE YOU 愛してる,Future Girlfriend 音楽,,,,,,,,
,,地尽头,关淑怡,,,,,,,,
,,Drop Out,Jack​LNDN,,,,,,,,
,,Coast Off,Helios,,,,,,,,
,,风月,黄龄,,,,,,,,
,,Genesis of Aquarion,Rasmus Faber,,,,,,,,
,,Street Lights,Kanye West,,,,,,,,
